customer_id,name,email,phone,address,dob,created_at
c6f77f81-a312-4a33-b478-ccfbce93ac66,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,"79402 Peterson Drives Apt. 511, Davisstad, PA 35172",1994-02-24,2023-11-05T12:06:34.599006
28605c68-c045-43bd-8dea-558365277a14,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-03,2020-03-02T18:47:21.750703
613163c5-3314-434d-8518-5d2997df92ee,Derek Clark,jason76@example.net,724.523.8849x696,"Unit 2871 Box 0122, DPO AP 55834",1979-10-28,2022-01-10T13:21:01.310072
10f749da-d147-483f-85af-16e3cd0c4e57,Julie King,frazierdanny@example.net,001-645-514-6270x48281,"809 Burns Creek, Natashaport, IA 08093",1955-08-24,2022-12-27T23:36:55.615171
57558b98-9382-4ae5-9e83-50ca012c315b,Nicholas Cabrera,davidalvarez@example.net,(848)796-3834,"33150 Brianna Avenue Apt. 031, Port Markhaven, IA 37001",1984-10-03,2021-02-16T08:07:33.985741
f113113a-7792-42b9-9939-f3b513435e06,Timothy Duncan,esanchez@example.com,311.265.6670,"33387 Robert Harbors Suite 317, North Deniseside, MP 02435",2005-02-26,2024-11-17T23:10:26.130397
76be3af4-66b0-44b4-927e-846e82d6c381,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-21,2024-12-17T06:38:44.261003
b4f49774-1b42-4caf-8f55-0d02b3b168bd,Lauren Williams,barnesbrandy@example.net,343-353-4624x75107,"51354 Samuel Plains Suite 980, Sarahville, FM 18102",1957-04-01,2024-09-08T10:01:21.302874
9e690737-db1e-4296-9ba6-ea991f3dec2f,Brittney Campbell,jenniferharris@example.net,687-440-1640x052,"011 Amy Village Suite 982, Andersonport, MN 05730",2000-05-23,2021-02-08T07:57:10.900336
8616c7e9-6af7-4993-9ce4-06bfa931740e,Brian Deleon,vdickson@example.org,622.460.2563,"0733 Bailey View, East Andrew, ID 52728",1961-08-03,2024-07-21T14:35:33.151866
6c33b83d-70b7-46a3-b9b5-8e7462c2a35c,Diana May,ifrazier@example.com,8147294019,"9816 Jonathan Station Suite 088, West Ryan, TN 43780",1981-08-22,2023-06-30T19:30:08.677029
e9a843d4-90e8-4b2d-8308-b261cb152e2f,Steven Hunter,snguyen@example.com,+1-823-266-2994,"9957 Ramos Forest, Leonburgh, TN 11615",1958-07-25,2023-07-01T17:02:41.027376
155d8c4d-c35f-48cb-8f8a-3f45349f8a3e,Anna Crane,emilywalker@example.org,(500)837-9176,"01632 Williams Gateway, South Dennismouth, TN 70117",2006-06-11,2023-02-20T01:24:36.177338
7f72f7bd-4952-4c21-8d6b-897ecad36173,Stephanie Salazar,jrivas@example.com,(677)943-4873,"45581 Edward Lights Apt. 316, Riveramouth, MT 08662",1953-05-01,2022-03-19T15:27:52.222726
e9bb8d70-7b78-4bc3-b9bc-72b40b0b898d,Lauren Dominguez,wwoods@example.com,001-766-888-9373x46706,"98069 Christopher Meadow Apt. 720, Nicholasborough, NH 43341",1962-03-20,2024-08-20T00:44:19.598295
72642186-a486-4200-abb1-27d6dbf159f0,Trevor Fisher,ruizkaitlyn@example.org,(931)300-3309x232,"4529 Kimberly Estates, Danieltown, ME 75971",1985-04-29,2025-01-18T04:21:53.137650
b402354b-cdea-47f8-adad-3eb3f1be77af,Miguel Jones,curtisbarton@example.net,+1-819-905-8651x850,"726 Jessica Run Suite 987, Grahamshire, KY 42746",1997-03-07,2024-05-17T21:30:46.990805
e04b8163-4939-4178-9fd7-b25e2af56e6b,Stephen Sanchez,qhudson@example.com,207-552-7354x54948,"8377 Mcguire Course Suite 363, Elizabethstad, NJ 73045",1975-05-15,2022-03-29T23:04:11.061700
d3800d20-2a60-43cd-b8ea-02eec426f8a1,Erin Warner,kristopher31@example.net,651.382.3374,"52408 Joshua Center Suite 271, New Justinfort, NV 45158",1951-10-21,2020-04-08T21:13:01.854389
b540ca4a-3979-467e-a7fc-b7474c5c617b,Karen Short,kvasquez@example.net,+1-502-829-4131x86999,"9649 Chelsea Streets Apt. 334, East Johnside, CA 21018",1939-06-13,2022-05-17T01:52:34.887517
49a2fe37-6145-42bf-9530-7800f8eea17a,Doris Hall,jacqueline71@example.net,649.436.1832,"9947 Taylor Hollow, Benderhaven, ND 65223",1969-01-12,2023-02-25T00:47:14.092108
87b55d42-6ce0-47b8-aa18-f7c2c921c5aa,Morgan Munoz,davissuzanne@example.net,001-604-490-2787,"Unit 6717 Box 5655, DPO AP 14211",1997-08-04,2021-09-26T18:26:38.412668
505fe196-481f-476b-866d-d9c134b10338,Donna Landry,gibsonleonard@example.com,768-908-7603,"48247 Martinez Roads, Lake Eric, OH 02293",1976-10-26,2020-06-28T09:33:45.777930
6f6179f1-54af-4f1e-93aa-2e397659fbc6,Susan Murray MD,tyronemoran@example.net,001-446-377-3782x639,"8404 Monroe Prairie Suite 278, Reedside, WV 71729",1964-11-30,2024-11-30T10:44:40.754569
e1ee6e48-5403-4d03-b82a-b4783ed98cbc,Veronica Allen,xhall@example.com,7573662702,"87026 Charles Tunnel Suite 596, Port Markside, MS 42006",1981-11-20,2024-09-04T00:58:47.304889
77609fa5-bde3-4d76-b693-1b725f9ec79f,Joshua Williamson II,wendy16@example.org,001-517-824-0050x45562,"21969 Tyler Prairie, East Steven, KS 60737",1956-08-17,2020-01-19T02:05:25.866054
91943b6e-454e-46bf-a35d-0ff037ddfb83,Stephanie Byrd,charleslandry@example.net,664-674-3671x3695,"0909 Wall Heights Apt. 953, New John, WV 94994",1991-06-15,2023-08-03T10:22:29.027359
4adbb00a-be48-4937-a71e-256e7259a651,Brent Burton,parkerscott@example.net,(621)445-6232x858,"5171 Karen Fork Suite 851, Smithside, DE 60110",1964-04-30,2023-12-12T14:41:30.713453
b6548754-6c25-4f73-8fac-68dc141f48e8,James Little,daniel37@example.org,+1-285-693-1746x120,"Unit 1138 Box 2675, DPO AP 97905",1986-08-17,2022-11-05T16:49:21.497730
130ebae4-3ac1-4d38-a300-dcc7a96bc8ea,Molly Mcclure,basschristina@example.com,7532773515,"71390 Kristin Gardens, Port Anne, CA 73142",1953-05-09,2021-02-19T15:19:30.522839
65ae262b-9b37-431d-ac3f-b0ed728abf9d,Erin Hernandez,ramireztracey@example.org,+1-742-210-2053,"68117 Strickland Passage, South Williamton, VA 86864",1974-09-22,2022-05-31T14:06:46.497747
52d640a7-4b19-4e38-b9de-4041a6009920,Amy Mendoza,gsimmons@example.com,001-771-815-9212x499,"Unit 8478 Box 9611, DPO AP 85817",1998-12-13,2022-11-27T03:31:58.563716
e9c4b433-50b8-47ce-9d8f-76f7cb457a56,Jessica Beasley,dmorgan@example.com,(315)765-4527x11116,"885 Robert Well, Parrishton, LA 79197",1960-07-06,2020-07-18T09:33:55.648433
4358b288-5c5f-4c6c-8201-fb950e2495cc,Brittney Olson,bellangela@example.org,001-649-636-8998x09402,"PSC 5022, Box 9612, APO AP 83492",2005-05-07,2020-06-25T14:30:48.643189
b61ee280-5891-4075-96be-e109b825be5a,Jamie Chavez,mitchellgriffith@example.net,+1-910-822-9014x767,"6149 Rose Inlet, East Randallton, AL 27295",1959-10-06,2021-02-10T13:25:05.068534
9a59140b-ed9c-4fd8-9028-4dbc3a244622,David Murphy,jimenezryan@example.org,(783)888-5160x6071,"1605 Laurie River Suite 516, East Ryanfurt, NC 10809",1966-03-06,2021-08-20T04:20:47.996227
ad66561e-b1f7-4da1-8a2e-633adfeabacc,Gary Jackson,schmidtjames@example.com,(923)912-4329x212,"995 Hernandez Cliff Suite 744, West Williamport, NH 59734",1941-10-28,2021-12-10T16:53:54.433547
171ad3be-82df-4ac3-b162-b7c9ce1862ab,Matthew Madden,gilbertwilliam@example.com,001-480-279-3597,"182 John Mill Suite 889, West Nathan, LA 51280",1967-01-23,2021-10-13T06:00:44.638705
13a57146-1880-441a-8466-ba8f835af519,Rachel Holland,riveraangela@example.com,349-625-1925x4629,"81685 Michael Falls Apt. 573, East Eric, LA 13757",1973-10-15,2022-11-04T21:20:29.638227
dcee0434-55a1-45b7-8c1a-c73daec45f03,Kelsey Stanley,carlamoore@example.org,001-592-570-6537x947,"59774 Shaw Manor Apt. 392, Brettfort, VI 49156",1976-12-22,2020-07-16T10:52:21.130152
0362908f-794a-4600-8649-200e816d8a33,Sarah Mitchell,joshuawhitehead@example.org,(713)575-0606x85361,"522 Justin Village, Hortonberg, WV 92977",1971-03-02,2023-03-30T08:27:08.963921
